PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010200033,-3.74832900000,14.13778200000,Mpini,Bouenza,Congo
CG010200034,-3.73194300000,14.14305700000,Kingoue,Bouenza,Congo
CG010200035,-3.75194100000,14.06194000000,Kinzele,Bouenza,Congo
CG010200036,-3.72278000000,14.14333600000,Mingali,Bouenza,Congo
CG010200037,-3.74555300000,14.04333400000,Kitzoa,Bouenza,Congo
CG010200038,-3.70972300000,14.14916500000,Kingoue,Bouenza,Congo
CG010200039,-3.70416700000,14.16582900000,Mvouta,Bouenza,Congo
CG010200040,-3.69305300000,14.18999800000,Mayama,Bouenza,Congo
CG010200041,-3.73166900000,14.03611000000,Ngole,Bouenza,Congo
CG010200042,-3.68777900000,14.19916900000,Malima,Bouenza,Congo
CG010200043,-3.69194700000,14.17750100000,Nsiaki,Bouenza,Congo
CG010200044,-3.65750200000,14.29638800000,Kinbanba,Bouenza,Congo
CG010200045,-3.67305500000,14.20222600000,Gamobale,Bouenza,Congo
CG010200046,-3.65777500000,14.25332900000,Moukomo,Bouenza,Congo
CG010200047,-3.65444700000,14.26528000000,Nkode,Bouenza,Congo
CG010200048,-3.66583100000,14.21694500000,Kimpolo,Bouenza,Congo
CG010200049,-3.70694800000,14.03638900000,Nka,Bouenza,Congo
CG010200050,-3.67416800000,14.02972500000,Kinga,Bouenza,Congo
CG010200051,-3.60000200000,14.09055800000,Missa,Bouenza,Congo
CG010200052,-3.59749600000,14.09028100000,Kimpolo I,Bouenza,Congo
CG010200053,-3.58000200000,14.09028100000,Kimpolo II,Bouenza,Congo
CG010300001,-4.20305900000,13.03444800000,Kibaka,Bouenza,Congo
CG010300002,-4.19444200000,13.03777500000,Mpalou,Bouenza,Congo
CG010300003,-4.19389100000,13.03444400000,Bouende,Bouenza,Congo
CG010300004,-4.18444200000,13.04166300000,Mandou,Bouenza,Congo
CG010300005,-4.19389200000,12.98888600000,Soungou,Bouenza,Congo
CG010300006,-4.17250300000,13.04722200000,Mpalou,Bouenza,Congo
CG010300007,-4.18777500000,12.99750200000,Moutimatitsi,Bouenza,Congo
CG010300008,-4.07805800000,13.31611300000,Miloundou,Bouenza,Congo
CG010300009,-4.16972400000,13.00972300000,Koulengene,Bouenza,Congo
CG010300010,-4.15750300000,13.04694400000,Loudima,Bouenza,Congo
CG010300011,-4.15750300000,13.04694400000,Loudima Gare,Bouenza,Congo
CG010300012,-4.14472500000,13.03166700000,Tzambisisi,Bouenza,Congo
CG010300013,-4.13694700000,13.03805300000,Yedike,Bouenza,Congo
CG010300014,-4.11721900000,13.09388500000,Ngounga,Bouenza,Congo
CG010300015,-4.12527600000,13.06444700000,Matchi-Koye,Bouenza,Congo
CG010300016,-4.02721800000,13.37777700000,Misenge,Bouenza,Congo
CG010300017,-4.05000000000,13.29999800000,Kanda,Bouenza,Congo
CG010300018,-4.17999800000,12.88333200000,Tsiboukou,Bouenza,Congo
CG010300019,-4.17999800000,12.88333200000,Tsimboukou,Bouenza,Congo
CG010300020,-4.17999800000,12.88333200000,Tsmiboukou,Bouenza,Congo
CG010300021,-4.17222500000,12.87416900000,Sanga,Bouenza,Congo
CG010300022,-4.17222500000,12.87416900000,Tsanga,Bouenza,Congo
CG010300023,-4.17222500000,12.87416900000,Tsanga-Mbouma,Bouenza,Congo
CG010300024,-4.17222500000,12.87416900000,Tsenga,Bouenza,Congo
CG010300025,-4.10527400000,13.07888500000,Kihidi,Bouenza,Congo
CG010300026,-4.16721800000,12.85805600000,Tsanga,Bouenza,Congo
CG010300027,-4.10250000000,13.04944700000,Loudima,Bouenza,Congo
CG010300028,-4.10250000000,13.04944700000,Loudima Poste,Bouenza,Congo
CG010300029,-4.10250000000,13.04944700000,Louidma,Bouenza,Congo
CG010300030,-4.14277600000,12.91361400000,Mont Belo,Bouenza,Congo
CG010300031,-4.09222100000,13.07249600000,Pasipe,Bouenza,Congo
CG010300032,-4.08471900000,13.07000200000,Moulanga,Bouenza,Congo
CG010300033,-4.08111400000,13.07110900000,Pindi,Bouenza,Congo
CG010300034,-4.07944400000,13.06833000000,Mbote,Bouenza,Congo
CG010300035,-4.15082900000,12.83555400000,Tikonzi,Bouenza,Congo
CG010300036,-4.07278000000,13.07582900000,Bouloumounoua,Bouenza,Congo
CG010300037,-4.10055700000,12.98083000000,Bamaganzo,Bouenza,Congo
CG010300038,-4.10055700000,12.98083000000,Bamanganzo,Bouenza,Congo
CG010300039,-4.06805400000,13.07333700000,Yedeke,Bouenza,Congo
CG010300040,-4.13027800000,12.87472200000,Youloukoyi,Bouenza,Congo
CG010300041,-4.06194400000,13.08555200000,Soulou,Bouenza,Congo
CG010300042,-4.05972600000,13.08806000000,Youloukoye,Bouenza,Congo
CG010300043,-4.05694200000,13.09610800000,Soulou,Bouenza,Congo
CG010300044,-4.10027400000,12.94805600000,Kimanza Ikongo,Bouenza,Congo
CG010300045,-4.05444300000,13.09083700000,Konde,Bouenza,Congo
CG010300046,-4.10666900000,12.90055300000,Mayekou,Bouenza,Congo
CG010300047,-4.09083200000,12.94694600000,Koumounene,Bouenza,Congo
CG010300048,-4.04027800000,13.10000000000,Soundi,Bouenza,Congo
