PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010200044,-3.657502,14.296388,Kimpolo I,Bouenza,Congo
CG010200045,-3.673055,14.202226,Kimpolo II,Bouenza,Congo
CG010200046,-3.657775,14.253329,Kibaka,Bouenza,Congo
CG010200047,-3.654447,14.26528,Mpalou,Bouenza,Congo
CG010200048,-3.665831,14.216945,Bouende,Bouenza,Congo
CG010200049,-3.706948,14.036389,Mandou,Bouenza,Congo
CG010200050,-3.674168,14.029725,Soungou,Bouenza,Congo
CG010200051,-3.600002,14.090558,Moutimatitsi,Bouenza,Congo
CG010200052,-3.597496,14.090281,Miloundou,Bouenza,Congo
CG010200053,-3.580002,14.090281,Koulengene,Bouenza,Congo
CG010300001,-4.203059,13.034448,Loudima,Bouenza,Congo
CG010300002,-4.194442,13.037775,Loudima Gare,Bouenza,Congo
CG010300003,-4.193891,13.034444,Tzambisisi,Bouenza,Congo
CG010300004,-4.184442,13.041663,Yedike,Bouenza,Congo
CG010300005,-4.193892,12.988886,Ngounga,Bouenza,Congo
CG010300006,-4.172503,13.047222,Matchi-Koye,Bouenza,Congo
CG010300007,-4.187775,12.997502,Misenge,Bouenza,Congo
CG010300008,-4.078058,13.316113,Kanda,Bouenza,Congo
CG010300009,-4.169724,13.009723,Tsiboukou,Bouenza,Congo
CG010300010,-4.157503,13.046944,Tsimboukou,Bouenza,Congo
CG010300011,-4.157503,13.046944,Tsmiboukou,Bouenza,Congo
CG010300012,-4.144725,13.031667,Sanga,Bouenza,Congo
CG010300013,-4.136947,13.038053,Tsanga,Bouenza,Congo
CG010300014,-4.117219,13.093885,Tsanga-Mbouma,Bouenza,Congo
CG010300015,-4.125276,13.064447,Tsenga,Bouenza,Congo
CG010300016,-4.027218,13.377777,Kihidi,Bouenza,Congo
CG010300017,-4.05,13.299998,Loudima Poste,Bouenza,Congo
CG010300018,-4.179998,12.883332,Louidma,Bouenza,Congo
CG010300019,-4.179998,12.883332,Mont Belo,Bouenza,Congo
CG010300020,-4.179998,12.883332,Pasipe,Bouenza,Congo
CG010300021,-4.172225,12.874169,Moulanga,Bouenza,Congo
CG010300022,-4.172225,12.874169,Pindi,Bouenza,Congo
CG010300023,-4.172225,12.874169,Mbote,Bouenza,Congo
CG010300024,-4.172225,12.874169,Tikonzi,Bouenza,Congo
CG010300025,-4.105274,13.078885,Bouloumounoua,Bouenza,Congo
